TIME_STAMP	Lon	Lat	5G-NR NAS Registration Procedure Registration Time(ReqToAcc) [sec]	5G-NR NAS Registration Procedure Registration Time(ReqToComp) [sec]
2024-03-19 17:43:09.848666	-93.182449	44.976540	0.497	
2024-03-19 17:43:09.848809	-93.182449	44.976540		0.498
2024-03-19 17:44:46.768347	-93.182343	44.976452	0.516	
2024-03-19 17:44:46.768513	-93.182343	44.976452		0.517
2024-03-19 17:46:19.043382	-93.182350	44.976460	0.471	
2024-03-19 17:46:19.049420	-93.182350	44.976460		0.471
2024-03-19 17:48:46.754597	-93.182358	44.976471	0.472	
2024-03-19 17:48:46.754720	-93.182358	44.976471		0.472
2024-03-19 17:50:18.932736	-93.182358	44.976471	0.413	
2024-03-19 17:50:18.932812	-93.182358	44.976471		0.413
2024-03-19 17:52:46.695947	-93.182373	44.976479	0.491	
2024-03-19 17:52:46.696031	-93.182373	44.976479		0.492
2024-03-19 17:54:18.825398	-93.182381	44.976479	0.376	
2024-03-19 17:54:18.825653	-93.182381	44.976479		0.377
2024-03-19 17:56:46.808919	-93.182388	44.976479	0.515	
2024-03-19 17:56:46.809077	-93.182388	44.976479		0.516
2024-03-19 17:58:18.905875	-93.182404	44.976479	0.373	
2024-03-19 17:58:18.906097	-93.182404	44.976479		0.373
2024-03-19 18:00:46.833891	-93.182404	44.976490	0.453	
2024-03-19 18:00:46.834083	-93.182404	44.976490		0.454
2024-03-19 18:02:18.973909	-93.182404	44.976490	0.432	
2024-03-19 18:02:18.974056	-93.182404	44.976490		0.433
2024-03-19 18:04:46.754281	-93.182472	44.976501	0.402	
2024-03-19 18:04:46.754464	-93.182472	44.976501		0.403
2024-03-19 18:06:18.890937	-93.182457	44.976501	0.420	
2024-03-19 18:06:18.891131	-93.182457	44.976501		0.421
2024-03-19 18:08:46.725673	-93.182457	44.976501	0.415	
2024-03-19 18:08:46.725865	-93.182457	44.976501		0.416
2024-03-19 18:10:19.005640	-93.182449	44.976501	0.541	
2024-03-19 18:10:19.005840	-93.182449	44.976501		0.541
2024-03-19 18:12:46.732179	-93.182449	44.976501	0.415	
2024-03-19 18:12:46.732369	-93.182449	44.976501		0.416
2024-03-19 18:14:18.954555	-93.182449	44.976501	0.394	
2024-03-19 18:14:18.954680	-93.182449	44.976501		0.395
2024-03-19 18:16:46.759805	-93.182457	44.976479	0.435	
2024-03-19 18:16:46.764209	-93.182457	44.976479		0.436
