Time Deltas	Message	Detail	Time (secs)
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372012517)	9.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.0003
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000194
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mt_Access, s-TMSI(mmec 90, m-TMSI 3372012517)	6.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000397
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000187
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372012517)	6.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000543
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000208
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372012517)	6.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000332
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000257
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 1002160505498	3.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.061717
T3	______[0xB062] LTE MAC RACH attempt	Success	3e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	6.4e-05
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372025015)	7.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000385
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000213
T1	__rrcConnectionRequest	Pci238@Earfcn651 mo_Signalling, random Value 293429063828	2.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.015924
T3	______[0xB062] LTE MAC RACH attempt	Success	4e-06
T4	__rrcConnectionSetup	Pci238@Earfcn651	9.1e-05
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372027361)	5.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000431
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000223
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372027361)	5.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000327
T3	______[0xB062] LTE MAC RACH attempt	Success	1e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000183
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 683907479002	2.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001362
T3	______[0xB062] LTE MAC RACH attempt	Success	8e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000157
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372031392)	5.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000448
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000198
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 1026113280427	3.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.031036
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
