Time Deltas	Message	Detail	Time (secs)
T1	__rrcSetupRequest	Pci602@NrArfcn520110	1.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.135493
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.102539
T1	__rrcSetupRequest	Pci602@NrArfcn520110	7.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000923
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.2e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000505
T1	__rrcSetupRequest	Pci602@NrArfcn520110	9.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001663
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.117087
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.4e-05
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	2.3e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.065268
T1	__rrcSetupRequest	Pci602@NrArfcn520110	4.9e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000434
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.9e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000461
T1	__rrcSetupRequest	Pci785@NrArfcn520110	2.5e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.101831
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.7e-05
T4	__rrcSetup	Pci785@NrArfcn520110	0.00082
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	21.861513
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.3e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.001899
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.00035
T1	__rrcSetupRequest	Pci602@NrArfcn520110	3.1e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.00184
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.8e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.086606
T1	__rrcSetupRequest	Pci602@NrArfcn520110	1.4e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.112136
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000296
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.4e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000197
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	7e-06
T4	__rrcSetup	Pci602@NrArfcn520110	0.000128
T1	__rrcSetupRequest	Pci602@NrArfcn520110	2.6e-05
T2	______[0xB889] NR5G MAC RACH Trigger	CONNECTION_REQUEST	0.000413
T3	______[0xB88A] NR5G MAC RACH Attempt	SUCCESS	1.6e-05
T4	__rrcSetup	Pci602@NrArfcn520110	0.000614
T1	__rrcSetupRequest	Pci602@NrArfcn520110	1.1e-05
